Step    -1: 10001 ms
Step    -1: 10001 ms
Step    -1: 10000 ms
Step    -1:  1899 ms
Step    -1:    47 ms
Step    -1:   867 ms
Step    -1:    49 ms
Step    -1:   874 ms
Step    -1:   137 ms
Step    -1:   770 ms
Step    -1: 31,20/0 ? | 31,22/0 ? | 32,23/0 se| 31,24/0 n | 31,28/0 ? | 32,29/0 ? |   253 ms
Step    45: 24,16/* sk| 35,26/* sk| 37,25/1 s | 20,17/3 nw| 26, 2/1 se| 33,42/1 nw| 12,41/0 w | 26,36/1 sw| 40,27/0 sw| 30,48/1 w |    60 ms
Step    45: 24,16/* sk| 35,26/* sk| 37,25/2 s | 20,17/4 nw| 26, 2/2 se| 33,42/2 nw| 12,41/1 s | 26,36/2 sw| 40,27/1 sw| 30,48/2 w |    70 ms
Step    45: 24,16/* sk| 35,26/* sk| 37,26/0 sw| 21,16/0 nw| 26, 2/3 se| 33,42/3 nw| 12,41/2 s | 26,36/3 sw| 40,27/2 sw| 30,48/3 w |  3324 ms
Step    46: 24,16/* sk| 35,26/* sk| 37,26/1 sw| 21,16/1 nw| 27, 3/0 ne| 32,41/0 se| 11,41/0 sw| 25,37/0 nw| 39,28/0 se| 29,48/0 ne|   403 ms
Step    46: 24,16/* sk| 35,26/* sk| 37,26/2 ne| 21,16/2 nw| 27, 3/1 ne| 32,41/1 se| 12,42/0 nw| 25,37/1 nw| 39,28/1 se| 29,48/1 ne|  3201 ms
Step    47: 24,16/* sk| 35,26/* sk| 37,26/3 ne| 21,16/3 nw| 28, 4/0 ne| 31,40/0 ne| 12,42/1 nw| 24,36/0 w | 38,29/0 ne| 29,48/2 ne|    13 ms
Step    47: 24,16/* sk| 35,26/* sk| 37,26/4 ne| 21,16/4 nw| 28, 4/1 ne| 31,40/1 ne| 12,42/2 nw| 24,36/1 w | 38,29/1 ne| 29,48/3 ne|    55 ms
Step    47: 24,16/* sk| 35,26/* sk| 36,27/0 se| 21,16/5 nw| 28, 4/2 ne| 31,40/2 ne| 11,43/0 nw| 24,36/2 w | 38,30/0 ne| 29,48/4 ne|  3388 ms
Step    47: 24,16/* sk| 35,26/* sk| 36,27/1 se| 21,16/6 nw| 28, 4/3 ne| 32,41/0 ne| 11,43/1 nw| 23,35/0 nw| 38,30/1 ne| 30,47/0 ne|    42 ms
Step    48: 24,16/* sk| 35,26/* sk| 36,27/2 se| 21,16/7 nw| 28, 4/4 ne| 32,41/1 nw| 11,43/2 nw| 23,35/1 nw| 38,30/2 sw| 30,47/1 ne|   178 ms
Step    48: 24,16/* sk| 35,26/* sk| 37,26/0 ne| 20,15/0 sw| 29, 3/0 nw| 32,41/2 nw| 10,42/0 nw| 23,35/2 nw| 38,30/3 sw| 30,47/2 ne|  3322 ms
Step    49: 24,16/* sk| 35,26/* sk| 38,27/0 ne| 20,14/0 sw| 29, 3/1 nw| 33,40/0 nw| 10,42/1 nw| 21,33/0 nw| 39,31/0 se| 31,46/0 ne|  3507 ms
Step    50: 24,16/* sk| 35,26/* sk| 38,27/1 ne| 20,14/1 ne| 29, 3/2 nw| 32,39/0 sw|  9,41/0 w | 21,33/1 nw| 38,31/0 se| 32,45/0 sw|   183 ms
Step    50: 24,16/* sk| 35,26/* sk| 38,27/2 ne| 19,15/0 ne| 29, 3/3 ne| 32,39/1 sw|  9,41/1 w | 21,33/2 nw| 38,31/1 se| 32,45/1 sw|  3279 ms
Step    50: 24,16/* sk| 35,26/* sk| 39,26/0 ne| 19,15/1 ne| 29, 3/4 ne| 31,38/0 sw|  8,41/0 w | 20,32/0 nw| 39,32/0 se| 33,44/0 w |    15 ms
Step    51: 24,16/* sk| 35,26/* sk| 39,26/1 ne| 19,15/2 ne| 29, 3/5 ne| 31,38/1 sw|  8,41/1 se| 20,32/1 nw| 39,32/1 s | 33,44/1 w |   182 ms
